日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2015-01-01,大里,19.4,10.04,26.68,36.75,21.42,71.17,43.53,65.64,3.3
2015-01-08,大里,18.95,6.5,25.15,31.64,25.62,65.17,33.11,64.21,3.25
2015-01-15,大里,17.55,6.7,22.84,29.52,25.64,79.34,39.84,67.48,3.19
2015-01-22,大里,17.65,6.99,27.5,34.49,26.3,73.96,45.83,67.05,3.21
2015-01-29,大里,18.59,4.03,19.45,23.42,23.32,41.9,17.46,70.96,2.24
2015-02-05,大里,15.53,5.76,21.57,27.35,28.06,60.54,33.25,64.5,2.88
2015-02-12,大里,19.77,6.67,30.16,36.85,32.22,97.18,52.38,60.7,3.94
2015-02-19,大里,20.9,4.64,19.61,24.28,22.62,62.34,35.56,72.69,2.49
2015-02-26,大里,21.03,4.92,21.34,26.25,23.11,54.35,31.32,69.46,2.98
2015-03-05,大里,20.03,5.96,24.42,30.34,18.93,47.18,25.91,71.16,2.5
2015-03-12,大里,22.99,4.98,21.84,26.82,27.58,76.14,39.29,72.42,3.44
2015-03-19,大里,21.71,4.76,22.04,26.82,25.03,75.01,35.37,71.85,2.59
2015-03-26,大里,24.24,4.92,21.56,26.46,28.57,55.21,27.91,69.78,2.87
2015-04-02,大里,26.87,2.48,12.87,15.35,25.65,47.08,17.13,66.65,2.4
2015-04-09,大里,20.78,3.21,20.66,23.79,34.47,41.99,20.19,63.6,2.38
2015-04-16,大里,25.99,3.5,17.0,20.51,27.66,53.46,25.45,66.91,3.12
2015-04-23,大里,25.62,2.63,16.94,19.57,37.58,61.34,28.86,69.1,3.24
2015-04-30,大里,28.87,3.52,17.82,21.33,27.05,60.17,33.51,72.24,3.82
2015-05-07,大里,30.73,2.87,17.24,20.13,30.1,60.93,31.45,70.05,3.4
2015-05-14,大里,30.22,3.71,11.94,15.65,17.89,33.7,16.72,68.75,2.68
2015-05-21,大里,26.4,5.53,18.82,24.36,17.0,23.1,12.25,83.0,2.86
2015-05-28,大里,27.53,4.41,10.77,15.16,18.8,24.9,11.45,73.9,2.56
2015-06-04,大里,27.59,3.44,10.25,13.63,19.03,25.0,12.75,69.94,2.41
2015-06-11,大里,28.39,3.14,8.94,12.04,18.71,28.83,14.29,67.52,2.8
2015-06-18,大里,30.79,2.49,11.62,14.08,23.13,36.09,20.07,69.08,2.93
2015-06-25,大里,33.08,2.71,8.5,11.21,21.83,46.84,21.21,66.13,2.66
2015-07-02,大里,31.49,2.33,10.96,13.29,30.71,43.15,20.89,72.13,2.51
2015-07-09,大里,29.28,2.26,10.0,12.29,29.73,36.11,20.95,71.45,2.56
2015-07-16,大里,29.55,2.76,11.32,14.08,27.15,40.15,24.91,67.29,3.42
2015-07-23,大里,27.8,3.18,8.79,12.01,22.13,24.77,12.48,67.1,2.51
2015-07-30,大里,28.29,3.59,13.59,17.18,24.52,34.74,20.84,65.43,4.23
2015-08-06,大里,27.38,3.15,9.59,12.74,22.7,30.27,14.6,71.15,2.15
2015-08-13,大里,27.87,6.04,12.09,18.08,14.11,23.43,11.66,74.98,3.03
2015-08-20,大里,29.52,2.29,12.52,14.78,38.52,49.53,28.71,72.8,2.74
2015-08-27,大里,26.7,6.16,13.18,19.33,15.14,17.3,6.82,79.19,2.01
2015-09-03,大里,28.77,3.88,13.97,17.83,28.0,32.01,16.56,71.53,2.63
2015-09-10,大里,28.7,2.45,19.64,22.12,44.68,62.35,33.15,67.42,3.37
2015-09-17,大里,28.62,2.04,18.86,20.94,46.54,66.29,40.79,66.61,3.43
2015-09-24,大里,28.32,2.78,14.76,17.56,35.72,39.85,19.94,71.27,2.18
2015-10-01,大里,28.84,2.39,17.92,20.32,37.32,69.24,40.52,73.61,3.69
2015-10-08,大里,26.26,2.41,19.09,21.42,33.65,48.47,26.83,67.67,2.33
2015-10-15,大里,26.43,5.28,24.9,30.21,30.19,71.69,37.57,70.32,3.26
2015-10-22,大里,27.6,4.45,21.52,25.96,31.77,66.35,39.17,72.62,3.51
2015-10-29,大里,26.3,4.74,19.46,24.19,28.43,59.48,38.94,71.14,3.3
2015-11-05,大里,27.11,4.25,21.83,26.04,28.33,77.38,48.84,72.33,3.67
2015-11-12,大里,27.26,6.43,24.89,31.33,25.99,73.33,44.89,70.41,3.58
2015-11-19,大里,26.23,5.18,21.3,26.43,24.41,53.76,27.38,71.24,2.58
2015-11-26,大里,21.88,6.29,23.78,30.06,28.12,42.73,20.22,64.02,2.76
2015-12-03,大里,21.39,6.62,23.21,29.83,20.49,46.39,20.01,69.43,2.79
2015-12-10,大里,20.84,6.96,21.05,27.93,22.93,49.41,26.43,71.34,3.22
2015-12-17,大里,19.43,12.44,26.45,38.87,8.85,74.94,37.69,69.42,3.71
2015-12-24,大里,19.77,7.91,23.44,31.39,18.51,44.12,25.3,72.1,2.71
