日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2017-01-01,二林,21.34,3.25,12.4,15.67,26.21,78.12,28.52,85.81,3.85
2017-01-08,二林,19.86,2.35,14.52,16.88,28.58,55.34,21.41,79.51,4.31
2017-01-15,二林,18.12,1.79,11.81,13.55,29.81,41.61,15.03,77.55,3.77
2017-01-22,二林,17.51,1.48,12.78,14.26,34.19,54.76,19.77,71.89,4.69
2017-01-29,二林,18.85,1.58,9.6,11.14,32.08,52.43,16.32,78.94,3.66
2017-02-05,二林,16.93,1.61,11.67,13.29,36.49,73.34,25.68,69.32,4.04
2017-02-12,二林,17.88,2.78,14.1,16.87,35.82,73.62,26.74,72.9,4.52
2017-02-19,二林,18.81,2.31,12.27,14.62,31.68,59.05,22.16,82.45,3.62
2017-02-26,二林,17.89,1.32,12.95,14.25,41.6,63.48,23.13,72.55,4.48
2017-03-05,二林,19.03,2.18,14.39,16.57,38.28,60.68,29.79,80.28,4.18
2017-03-12,二林,20.07,1.42,13.04,14.42,40.17,54.56,22.56,78.23,4.18
2017-03-19,二林,21.92,1.61,13.32,14.91,39.42,56.18,20.76,77.55,4.48
2017-03-26,二林,20.16,1.7,13.14,14.85,44.1,87.92,33.23,74.21,3.72
2017-04-02,二林,22.4,1.64,11.17,12.82,42.92,71.15,31.84,68.57,3.32
2017-04-09,二林,23.64,1.88,11.42,13.28,29.14,46.43,19.6,81.54,3.43
2017-04-16,二林,25.71,1.47,7.73,9.2,30.05,45.01,19.03,79.58,2.51
2017-04-23,二林,22.6,1.4,11.3,12.68,46.76,61.87,25.04,75.62,3.77
2017-04-30,二林,25.8,3.16,11.09,14.28,31.55,63.14,28.15,75.46,3.4
2017-05-07,二林,27.98,1.81,8.86,10.65,30.01,60.58,19.1,77.67,3.46
2017-05-14,二林,26.24,1.39,9.9,11.28,39.4,42.62,16.38,81.28,3.78
2017-05-21,二林,27.53,1.32,10.6,11.91,34.95,37.05,14.81,77.04,3.81
2017-05-28,二林,27.72,1.24,7.11,8.37,28.93,27.29,10.82,85.16,3.23
2017-06-04,二林,29.48,1.79,6.51,8.3,21.76,34.55,12.24,81.25,3.0
2017-06-11,二林,28.3,1.39,5.45,6.85,18.93,29.57,6.35,84.65,2.11
2017-06-18,二林,28.89,2.37,5.69,8.07,13.75,25.85,6.97,81.57,2.66
2017-06-25,二林,29.34,1.64,6.52,8.17,20.19,39.62,15.06,75.48,2.89
2017-07-02,二林,27.67,1.51,6.45,7.96,21.79,28.82,4.75,79.48,3.04
2017-07-09,二林,29.22,1.47,8.1,9.54,21.83,39.02,9.54,74.57,3.32
2017-07-16,二林,30.14,1.07,6.77,7.83,29.03,45.14,13.92,75.01,3.05
2017-07-23,二林,30.14,1.02,6.24,7.17,27.27,40.21,13.83,76.16,3.23
2017-07-30,二林,28.88,1.02,4.62,5.61,23.36,24.94,9.72,81.1,2.67
2017-08-06,二林,30.24,1.02,3.83,4.75,15.8,25.61,11.18,77.68,2.14
2017-08-13,二林,30.14,1.9,5.44,7.29,15.14,22.78,11.33,75.83,2.77
2017-08-20,二林,29.27,2.3,5.93,8.13,24.04,37.57,20.32,81.65,3.11
2017-08-27,二林,29.07,1.45,8.48,9.93,24.72,42.51,23.52,81.92,2.85
2017-09-03,二林,29.42,1.18,6.07,7.24,23.93,32.19,16.59,80.95,2.87
2017-09-10,二林,29.26,2.67,8.14,10.71,26.72,43.42,18.95,74.2,3.15
2017-09-17,二林,29.28,1.36,10.5,11.65,38.62,67.35,34.6,74.61,4.44
2017-09-24,二林,29.6,1.94,8.01,9.79,24.07,39.99,20.76,79.26,3.38
2017-10-01,二林,29.35,1.72,10.34,12.01,30.88,55.81,25.58,77.95,3.33
2017-10-08,二林,28.57,2.06,9.64,11.67,26.47,61.97,23.96,79.77,4.23
2017-10-15,二林,25.95,1.29,7.76,9.02,31.92,29.44,10.75,82.16,3.09
2017-10-22,二林,23.24,0.9,10.29,11.24,52.77,55.28,24.57,68.19,3.44
2017-10-29,二林,23.11,1.25,9.32,10.57,40.73,52.4,18.32,73.49,2.95
2017-11-05,二林,24.15,1.26,9.93,11.14,32.11,61.93,23.47,82.76,4.26
2017-11-12,二林,23.9,1.9,11.51,13.37,27.09,60.35,24.33,85.17,4.23
2017-11-19,二林,20.89,1.41,10.77,12.23,28.49,36.13,13.82,78.48,3.47
2017-11-26,二林,22.51,1.89,10.2,12.07,31.45,54.12,20.76,83.07,4.65
2017-12-03,二林,18.11,1.43,11.36,12.74,32.0,51.39,22.07,78.62,3.87
2017-12-10,二林,18.72,2.87,12.88,15.76,28.05,46.75,19.14,81.93,3.75
2017-12-17,二林,16.82,2.22,11.67,13.73,30.73,47.39,26.0,74.64,3.73
2017-12-24,二林,18.99,2.09,12.75,14.8,29.98,68.36,36.4,77.56,5.05
