日期,地區,AMB_TEMP,NO,NO2,NOx,O3,PM10,PM2.5,RH,SO2
2019-01-01,新店,21.42,3.58,15.51,19.09,22.23,9.65,7.53,81.78,1.44
2019-01-08,新店,21.66,4.78,15.37,20.15,23.65,18.75,10.85,78.32,1.56
2019-01-15,新店,18.75,5.71,17.14,22.85,27.43,26.13,15.06,76.08,2.06
2019-01-22,新店,16.16,3.23,14.56,17.79,37.87,36.36,18.39,67.83,1.74
2019-01-29,新店,19.16,3.1,15.12,18.23,33.12,27.82,16.99,71.38,1.98
2019-02-05,新店,18.04,1.51,9.03,10.54,31.35,17.71,12.19,79.54,1.51
2019-02-12,新店,19.2,2.81,14.72,17.52,29.15,15.38,10.74,80.82,1.61
2019-02-19,新店,18.53,3.26,15.96,19.21,30.42,19.27,12.07,81.75,1.82
2019-02-26,新店,19.28,3.34,14.98,18.32,31.41,33.53,18.91,79.12,1.48
2019-03-05,新店,16.88,3.41,17.56,20.98,34.86,21.75,15.26,81.38,1.43
2019-03-12,新店,19.95,2.47,12.96,15.43,48.91,34.07,18.67,65.49,1.83
2019-03-19,新店,20.56,3.64,15.97,19.6,34.91,29.34,16.73,77.29,2.01
2019-03-26,新店,21.18,2.13,12.06,14.18,41.11,29.85,13.6,73.6,1.82
2019-04-02,新店,22.68,2.51,15.31,17.82,37.19,30.42,18.15,75.43,1.97
2019-04-09,新店,22.36,2.21,13.35,15.54,38.01,27.32,14.34,75.35,1.75
2019-04-16,新店,24.01,2.72,17.53,20.24,34.65,28.86,17.67,76.51,2.2
2019-04-23,新店,26.95,2.41,12.94,15.34,34.69,25.86,14.8,71.92,2.51
2019-04-30,新店,22.82,1.17,9.57,10.74,43.48,25.33,10.44,72.45,1.6
2019-05-07,新店,23.32,1.84,11.29,13.12,39.17,14.35,7.1,78.54,1.4
2019-05-14,新店,27.37,3.5,10.66,14.15,21.72,24.85,12.88,75.83,1.79
2019-05-21,新店,25.73,1.9,8.77,10.66,40.23,27.49,11.01,65.32,1.42
2019-05-28,新店,26.45,2.84,11.53,14.38,29.65,21.42,9.15,73.79,1.63
2019-06-04,新店,28.84,3.83,9.54,13.36,19.91,22.28,10.54,71.9,1.72
2019-06-11,新店,25.74,2.68,12.86,15.54,35.15,18.65,11.56,76.68,1.63
2019-06-18,新店,28.98,2.41,10.07,12.49,23.3,18.17,10.83,73.99,1.62
2019-06-25,新店,29.41,2.52,9.85,12.37,25.85,19.61,10.17,72.39,1.76
2019-07-02,新店,30.06,2.26,8.97,11.24,22.92,7.41,8.73,69.89,1.78
2019-07-09,新店,30.22,2.04,7.22,9.26,23.81,22.4,11.68,67.9,1.69
2019-07-16,新店,29.5,2.45,7.84,10.3,18.14,18.51,8.36,73.54,1.61
2019-07-23,新店,29.44,2.31,9.27,11.58,28.19,21.73,10.67,71.83,1.96
2019-07-30,新店,30.96,2.69,4.12,6.82,14.03,8.38,4.94,63.21,1.36
2019-08-06,新店,30.24,2.93,6.01,8.94,17.89,17.01,8.19,70.65,1.23
2019-08-13,新店,29.91,2.11,8.33,10.43,29.72,21.13,10.9,69.29,1.53
2019-08-20,新店,29.4,2.63,5.77,8.38,21.9,15.64,8.26,70.51,1.28
2019-08-27,新店,30.59,2.65,5.46,8.11,14.9,12.6,7.75,64.76,1.44
2019-09-03,新店,28.06,3.12,8.26,11.37,21.21,14.86,8.74,73.26,1.72
2019-09-10,新店,28.97,2.29,5.81,8.1,20.71,15.9,10.87,68.47,1.67
2019-09-17,新店,24.29,2.02,11.26,13.28,37.3,28.23,15.92,76.09,1.63
2019-09-24,新店,25.46,3.79,9.52,13.31,21.39,11.9,6.3,78.35,1.42
2019-10-01,新店,27.84,3.14,10.0,13.14,31.27,24.3,15.25,67.61,1.9
2019-10-08,新店,25.76,1.61,9.18,10.79,40.93,25.72,15.08,68.82,1.59
2019-10-15,新店,22.73,2.13,11.75,13.88,37.7,26.54,13.04,72.98,1.2
2019-10-22,新店,24.06,1.79,10.39,12.17,39.38,22.62,11.38,68.04,1.33
2019-10-29,新店,23.09,1.45,11.17,12.63,40.18,33.8,15.8,79.15,1.68
2019-11-05,新店,21.98,1.6,9.49,11.09,42.61,24.06,10.66,65.78,1.35
2019-11-12,新店,22.41,2.12,12.35,14.47,38.08,32.72,16.24,66.99,1.69
2019-11-19,新店,21.2,2.93,12.54,15.46,24.22,17.38,8.57,80.96,1.68
2019-11-26,新店,19.64,2.08,10.13,12.2,30.95,17.64,9.44,74.52,1.24
2019-12-03,新店,16.28,2.02,12.53,14.55,32.04,19.58,10.19,72.26,1.57
2019-12-10,新店,20.33,3.79,15.95,19.75,32.64,25.84,13.86,69.62,1.91
2019-12-17,新店,20.02,3.66,15.86,19.51,20.32,13.73,8.07,81.54,2.06
2019-12-24,新店,18.69,5.38,14.65,20.03,22.33,16.63,9.06,78.59,1.79
